Year,State,Fires (Wildland),Acres (Wildland),Fires (Rx),Acres (Rx),Fires (WFU),Acres (WFU),Fires (Human),Acres (Human),Fires (Lightning),Acres (Lightning),Fires (Total),Acres (Total)
2006,Washington,"1,579","410,060",200,"25,689",4,"9,288",,,,,,
2006,West Virginia,"1,038","15,480",8,189,0,0,,,,,,
2006,Wisconsin,"1,702","2,287",738,"30,239",0,0,,,,,,
2006,Wyoming,712,"202,301",49,"11,799",15,"22,637",,,,,,
2007,Alabama,"3,373","64,262","14,644","792,768",0,0,,,,,,
2007,Alaska,448,"525,017",4,"20,650",58,"124,399",,,,,,
2007,Arizona,"2,240","101,381",363,"98,593",23,"10,760",,,,,,
2007,Arkansas,"1,290","32,212",242,"225,344",1,"3,481",,,,,,
2007,California,"9,093","1,087,110",895,"71,403",46,"1,784",,,,,,
2007,Colorado,"1,351","20,739",174,"35,840",19,229,,,,,,
2007,Connecticut,361,288,7,60,0,0,,,,,,
2007,Delaware,23,153,9,165,0,0,,,,,,
2007,Florida,"4,783","584,495",467,"307,290",19,"3,215",,,,,,
2007,Georgia,"8,726","837,895",105,"50,974",0,0,,,,,,
2007,Hawaii,5,"21,030",0,0,0,0,,,,,,
2007,Idaho,"1,473","1,980,552",518,"47,788",73,"199,217",,,,,,
2007,Illinois,77,611,179,"12,548",0,0,,,,,,
2007,Indiana,886,"5,730",277,"27,155",0,0,,,,,,
2007,Iowa,54,684,217,"12,231",0,0,,,,,,
2007,Kansas,75,"24,260",54,"21,194",0,0,,,,,,
2007,Kentucky,"2,092","60,917",35,"18,820",0,0,,,,,,
2007,Louisiana,931,"9,341",145,"138,256",0,0,,,,,,
2007,Maine,491,423,37,196,0,0,,,,,,
2007,Maryland,675,"5,790",51,"4,094",0,0,,,,,,
2007,Massachusetts,"2,204","2,687",5,46,0,0,,,,,,
2007,Michigan,535,"23,344",82,"7,049",0,0,,,,,,
2007,Minnesota,"1,821","163,111",603,"92,572",2,11,,,,,,
2007,Mississippi,"1,233","16,119",198,"240,751",0,0,,,,,,
2007,Missouri,165,"10,537",75,"27,532",0,0,,,,,,
2007,Montana,"1,875","778,079",441,"37,166",26,"44,732",,,,,,
2007,Nebraska,62,"4,074",56,"9,958",0,0,,,,,,
2007,Nevada,891,"890,414",27,"11,192",6,"3,631",,,,,,
2007,New Hampshire,421,212,15,187,1,0,,,,,,
2007,New Jersey,"1,257","20,849",133,"11,712",0,0,,,,,,
2007,New Mexico,"1,418","97,750",163,"54,489",22,"26,785",,,,,,
2007,New York,211,855,16,375,0,0,,,,,,
2007,North Carolina,"7,000","54,658",186,"94,084",0,0,,,,,,
2007,North Dakota,953,"41,647",125,"23,969",0,0,,,,,,
